ano,posicao,time,pts,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,cartoes_amarelos,cartoes_vermelhos,aproveitamento
2018,1,Palmeiras,80,38,23,11,4,64,26,38,117,5,70
2018,2,Flamengo,72,38,21,9,8,59,29,30,83,10,63
2018,3,Internacional,69,38,19,12,7,51,29,22,96,6,60
2018,4,Grêmio,66,38,18,12,8,48,27,21,83,1,57
2018,5,São Paulo,63,38,16,15,7,46,34,12,98,6,55
2018,6,Atlético,59,38,17,8,13,56,43,13,90,3,51
2018,7,Athletico Paranaense,57,38,16,9,13,54,37,17,88,5,50
2018,8,Cruzeiro,53,38,14,11,13,34,34,0,99,2,46
2018,9,Botafogo,51,38,13,12,13,38,46,-8,90,5,44
2018,10,Santos,50,38,13,11,14,46,40,6,88,3,43
2018,11,Bahia,48,38,12,12,14,39,41,-2,85,4,42
2018,12,Fluminense,45,38,12,9,17,32,46,-14,87,5,39
2018,13,Corinthians,44,38,11,11,16,34,35,-1,77,3,38
2018,14,Chapecoense,44,38,11,11,16,34,50,-16,74,3,38
2018,15,Ceará,44,38,10,14,14,32,38,-6,91,3,38
2018,16,Vasco da Gama,43,38,10,13,15,41,48,-7,101,9,37
2018,17,America Fc,40,38,10,10,18,30,47,-17,84,8,35
2018,18,Sport,39,38,11,9,18,35,57,-22,78,4,34
2018,19,Vitória,37,38,9,10,19,36,63,-27,108,7,32
2018,20,Paraná,23,38,4,11,23,18,57,-39,98,9,20
2019,1,Flamengo,90,38,28,6,4,86,37,49,90,3,78
2019,2,Santos,74,38,22,8,8,60,33,27,110,12,64
2019,3,Palmeiras,74,38,21,11,6,61,32,29,78,5,64
2019,4,Grêmio,65,38,19,8,11,64,39,25,80,2,57
2019,5,Athletico Paranaense,64,38,18,10,10,51,32,19,83,2,56
2019,6,São Paulo,63,38,17,12,9,39,30,9,87,7,55
2019,7,Internacional,57,38,16,9,13,44,38,6,98,3,50
2019,8,Corinthians,56,38,14,14,10,42,34,8,72,2,49
