ano,posicao,time,pts,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,cartoes_amarelos,cartoes_vermelhos,aproveitamento,ingressos,publico_pagante,renda_bruta,renda_liquida,fonte_financeira,fonte,fonte_url,status_coleta
2003,1,Cruzeiro,100,46,31,7,8,102,47,55,0.0,0.0,72.5,0.0,0.0,0.0,0.0,Sr.Goool,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,2,Santos,87,46,25,12,9,93,60,33,0.0,0.0,63.0,0.0,0.0,0.0,0.0,Sr.Goool,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,3,São Paulo,78,46,22,12,12,81,67,14,0.0,0.0,56.5,0.0,0.0,0.0,0.0,Sr.Goool,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,4,São Caetano,74,46,19,14,13,53,37,16,0.0,0.0,51.4,0.0,0.0,0.0,0.0,Sr.Goool,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,5,Coritiba,73,46,21,10,15,67,58,9,0.0,0.0,52.9,0.0,0.0,0.0,0.0,Sr.Goool,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,6,Internacional,72,46,20,10,16,59,57,2,0.0,0.0,50.7,0.0,0.0,0.0,0.0,Sr.Goool,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,7,Atlético Mineiro,72,46,19,15,12,76,62,14,0.0,0.0,52.2,0.0,0.0,0.0,0.0,Sr.Goool,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,8,Flamengo,66,46,18,12,16,66,73,-7,0.0,0.0,47.8,0.0,0.0,0.0,0.0,Sr.Goool,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,9,Goiás,65,46,18,11,17,78,63,15,0.0,0.0,47.1,0.0,0.0,0.0,0.0,Sr.Goool,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,10,Paraná,65,46,18,11,17,85,75,10,0.0,0.0,47.1,0.0,0.0,0.0,0.0,Sr.Goool,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok
