ano,rodada,data,hora,local,mandante,visitante,gols_mandante,gols_visitante,resultado,vencedor,publico_a_venda,publico_devolvido,publico_vendido,arrecadacao_bruta,renda_mandante,renda_visitante,financeiro_status,publico_informado,cartoes_amarelos_mandante,cartoes_vermelhos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_visitante,id_tabela_srgoool,tem_publico,tem_arrecadacao,tem_financeiro,sumula_url,boletim_financeiro_url,relatorio_jogo_url,fonte_esportiva,fonte_financeira,fonte_url,status_coleta
2003,1,Mar 29,,,Athletico Paranaense,Grêmio,2,0,2 x 0,Athletico Paranaense,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29221.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,1,Mar 30,,,Corinthians,Atlético Mineiro,0,3,0 x 3,Atlético Mineiro,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29231.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,1,Mar 30,,,Criciúma,Fluminense,2,0,2 x 0,Criciúma,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29229.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,1,Mar 30,,,Cruzeiro,São Caetano,2,2,2 x 2,Empate,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29223.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,1,Mar 30,,,Flamengo,Coritiba,1,1,1 x 1,Empate,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29222.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,1,Mar 30,,,Fortaleza,Bahia,0,0,0 x 0,Empate,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29228.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,1,Mar 30,,,Goiás,Paysandu,2,2,2 x 2,Empate,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29227.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,1,Mar 29,,,Guarani,Vasco da Gama,4,2,4 x 2,Guarani,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29220.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,1,Mar 30,,,Internacional,Ponte Preta,1,1,1 x 1,Empate,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29226.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,1,Mar 30,,,Juventude,São Paulo,2,2,2 x 2,Empate,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29224.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,1,Mar 30,,,Santos,Paraná,2,2,2 x 2,Empate,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29230.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,1,Mar 30,,,Vitória,Figueirense,1,1,1 x 1,Empate,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29225.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,2,Apr 5,,,Atlético Mineiro,Santos,0,0,0 x 0,Empate,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29232.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,2,Apr 6,,,Bahia,Flamengo,1,2,1 x 2,Flamengo,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29236.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,2,Apr 5,,,Coritiba,Internacional,0,1,0 x 1,Internacional,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29233.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,2,Apr 6,,,Figueirense,Corinthians,3,3,3 x 3,Empate,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29241.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,2,Apr 5,,,Fluminense,Fortaleza,1,1,1 x 1,Empate,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29234.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,2,Apr 5,,,Grêmio,Guarani,3,1,3 x 1,Grêmio,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29235.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,2,Apr 6,,,Paraná,Athletico Paranaense,3,0,3 x 0,Paraná,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29237.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,2,Apr 6,,,Paysandu,Vitória,1,2,1 x 2,Vitória,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29238.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,2,Apr 6,,,Ponte Preta,Juventude,1,0,1 x 0,Ponte Preta,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29239.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,2,Apr 6,,,São Caetano,Criciúma,3,2,3 x 2,São Caetano,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29240.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,2,Apr 6,,,São Paulo,Cruzeiro,2,4,2 x 4,Cruzeiro,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29243.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
2003,2,Apr 6,,,Vasco da Gama,Goiás,6,4,6 x 4,Vasco da Gama,,,,,,,fora_cobertura_cbf,N,0.0,0.0,0.0,0.0,29242.0,False,False,False,,,,RSSSF,,https://rsssfbrasil.com/tablesae/br2003.htm,ok
