ano,rodada,data_rsssf,mandante,visitante,gols_mandante,gols_visitante,resultado,vencedor,fonte,fonte_url,status_coleta,jogos_esperados_ano,jogos_extraidos_ano
2003,1,Mar 29,Guarani,Vasco da Gama,4,2,4 x 2,Guarani,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,1,Mar 29,Atlético-PR,Grêmio,2,0,2 x 0,Atlético-PR,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,1,Mar 30,Goiás,Paysandu,2,2,2 x 2,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,1,Mar 30,Corinthians,Atlético-MG,0,3,0 x 3,Atlético-MG,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,1,Mar 30,Flamengo,Coritiba,1,1,1 x 1,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,1,Mar 30,Criciúma,Fluminense,2,0,2 x 0,Criciúma,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,1,Mar 30,Juventude,São Paulo,2,2,2 x 2,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,1,Mar 30,Fortaleza,Bahia,0,0,0 x 0,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,1,Mar 30,Vitória,Figueirense,1,1,1 x 1,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,1,Mar 30,Cruzeiro,São Caetano,2,2,2 x 2,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,1,Mar 30,Internacional,Ponte Preta,1,1,1 x 1,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,1,Mar 30,Santos,Paraná,2,2,2 x 2,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,2,Apr 5,Fluminense,Fortaleza,1,1,1 x 1,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,2,Apr 5,Atlético-MG,Santos,0,0,0 x 0,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,2,Apr 5,Grêmio,Guarani,3,1,3 x 1,Grêmio,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,2,Apr 5,Coritiba,Internacional,0,1,0 x 1,Internacional,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,2,Apr 6,Bahia,Flamengo,1,2,1 x 2,Flamengo,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,2,Apr 6,Vasco da Gama,Goiás,6,4,6 x 4,Vasco da Gama,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,2,Apr 6,Figueirense,Corinthians,3,3,3 x 3,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,2,Apr 6,São Paulo,Cruzeiro,2,4,2 x 4,Cruzeiro,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,2,Apr 6,Paysandu,Vitória,1,2,1 x 2,Vitória,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,2,Apr 6,Ponte Preta,Juventude,1,0,1 x 0,Ponte Preta,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,2,Apr 6,Paraná,Atlético-PR,3,0,3 x 0,Paraná,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,2,Apr 6,São Caetano,Criciúma,3,2,3 x 2,São Caetano,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,3,Apr 12,Corinthians,Paysandu,6,1,6 x 1,Corinthians,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,3,Apr 12,Internacional,Bahia,2,0,2 x 0,Internacional,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,3,Apr 12,Atlético-PR,Atlético-MG,1,2,1 x 2,Atlético-MG,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,3,Apr 12,Santos,Figueirense,2,0,2 x 0,Santos,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,3,Apr 13,Cruzeiro,Ponte Preta,3,0,3 x 0,Cruzeiro,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,3,Apr 13,Vitória,Vasco da Gama,2,1,2 x 1,Vitória,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,3,Apr 13,Flamengo,Fluminense,4,1,4 x 1,Flamengo,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,3,Apr 13,Criciúma,São Paulo,1,1,1 x 1,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,3,Apr 13,Fortaleza,São Caetano,1,1,1 x 1,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,3,Apr 13,Juventude,Coritiba,2,1,2 x 1,Juventude,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,3,Apr 13,Guarani,Paraná,2,0,2 x 0,Guarani,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,3,Apr 13,Goiás,Grêmio,1,1,1 x 1,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,4,Apr 9,Paysandu,Santos,2,1,2 x 1,Paysandu,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,4,Apr 16,São Caetano,Flamengo,1,1,1 x 1,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,4,Apr 16,Vasco da Gama,Corinthians,2,2,2 x 2,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,4,Apr 16,Bahia,Juventude,3,1,3 x 1,Bahia,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,4,Apr 16,Grêmio,Vitória,2,1,2 x 1,Grêmio,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,4,Apr 16,Coritiba,Cruzeiro,3,4,3 x 4,Cruzeiro,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,4,Apr 16,Atlético-MG,Guarani,3,2,3 x 2,Atlético-MG,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,4,Apr 16,Figueirense,Atlético-PR,1,1,1 x 1,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,4,Apr 16,Ponte Preta,Criciúma,1,1,1 x 1,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,4,Apr 17,Fluminense,Internacional,3,1,3 x 1,Fluminense,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,4,Apr 17,Paraná,Goiás,3,1,3 x 1,Paraná,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,4,Apr 17,São Paulo,Fortaleza,3,1,3 x 1,São Paulo,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,5,Apr 19,Flamengo,Santos,0,2,0 x 2,Santos,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,5,Apr 19,Bahia,Atlético-MG,2,4,2 x 4,Atlético-MG,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,5,Apr 19,São Caetano,Grêmio,1,1,1 x 1,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,5,Apr 20,São Paulo,Vasco da Gama,3,1,3 x 1,São Paulo,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,5,Apr 20,Fluminense,Paraná,0,0,0 x 0,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,5,Apr 20,Cruzeiro,Goiás,4,1,4 x 1,Cruzeiro,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,5,Apr 20,Internacional,Corinthians,2,1,2 x 1,Internacional,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,5,Apr 20,Ponte Preta,Paysandu,4,4,4 x 4,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,5,Apr 20,Fortaleza,Atlético-PR,1,0,1 x 0,Fortaleza,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
2003,5,Apr 20,Juventude,Vitória,1,1,1 x 1,Empate,RSSSF,https://rsssfbrasil.com/tablesae/br2003.htm,ok,552,552
