ano,id_campeonato_srgoool,posicao,time,time_norm,pts,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,cartoes_amarelos,cartoes_vermelhos,aproveitamento,ingressos,publico_pagante,renda_bruta,renda_liquida,publico_informado,fonte_url,status_coleta
2003,247,1,Cruzeiro,cruzeiro,100,46,31,7,8,102,47,55,0,0,72.5,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,2,Santos,santos,87,46,25,12,9,93,60,33,0,0,63.0,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,3,São Paulo,sao paulo,78,46,22,12,12,81,67,14,0,0,56.5,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,4,São Caetano,sao caetano,74,46,19,14,13,53,37,16,0,0,51.4,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,5,Coritiba,coritiba,73,46,21,10,15,67,58,9,0,0,52.9,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,6,Internacional,internacional,72,46,20,10,16,59,57,2,0,0,50.7,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,7,Atlético Mineiro,atletico mineiro,72,46,19,15,12,76,62,14,0,0,52.2,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,8,Flamengo,flamengo,66,46,18,12,16,66,73,-7,0,0,47.8,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,9,Goiás,goias,65,46,18,11,17,78,63,15,0,0,47.1,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,10,Paraná,parana,65,46,18,11,17,85,75,10,0,0,47.1,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,11,Figueirense,figueirense,65,46,17,14,15,62,54,8,0,0,47.1,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,12,Athletico Paranaense,athletico paranaense,61,46,17,10,19,67,72,-5,0,0,44.2,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,13,Guarani,guarani,61,46,17,10,19,64,72,-8,0,0,44.2,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,14,Criciúma,criciuma,60,46,17,9,20,57,69,-12,0,0,43.5,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,15,Corinthians,corinthians,59,46,15,12,19,61,63,-2,0,0,41.3,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,16,Vitória,vitoria,56,46,15,11,20,50,64,-14,0,0,40.6,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,17,Vasco,vasco,54,46,13,15,18,57,69,-12,0,0,39.1,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,18,Juventude,juventude,53,46,12,14,20,55,70,-15,0,0,36.2,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,19,Fluminense,fluminense,52,46,13,11,22,52,77,-25,0,0,36.2,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,20,Grêmio,gremio,50,46,13,11,22,54,68,-14,0,0,36.2,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,21,Ponte Preta,ponte preta,50,46,11,18,17,63,73,-10,0,0,37.0,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,22,Paysandu,paysandu,49,46,15,12,19,74,77,-3,0,0,41.3,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,23,Fortaleza,fortaleza,49,46,12,13,21,58,74,-16,0,0,35.5,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,24,Bahia,bahia,46,46,12,10,24,59,92,-33,0,0,33.3,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2004,246,1,Santos,santos,89,46,27,8,11,103,58,45,0,0,64.5,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
2004,246,2,Athletico Paranaense,athletico paranaense,86,46,25,11,10,93,56,37,0,0,62.3,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
2004,246,3,São Paulo,sao paulo,82,46,24,10,12,78,43,35,0,0,59.4,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
2004,246,4,Palmeiras,palmeiras,79,46,22,13,11,72,47,25,0,0,57.2,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
2004,246,5,Corinthians,corinthians,74,46,20,14,12,54,54,0,0,0,53.6,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
2004,246,6,Goiás,goias,72,46,21,9,16,81,68,13,0,0,52.2,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
2004,246,7,Juventude,juventude,70,46,20,10,16,60,66,-6,0,0,50.7,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
2004,246,8,Internacional,internacional,67,46,20,7,19,66,59,7,0,0,48.6,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
2004,246,9,Fluminense,fluminense,67,46,18,13,15,65,68,-3,0,0,48.6,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
2004,246,10,Ponte Preta,ponte preta,64,46,19,7,20,43,73,-30,0,0,46.4,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
2004,246,11,Figueirense,figueirense,63,46,17,12,17,57,59,-2,0,0,45.7,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
2004,246,12,Coritiba,coritiba,62,46,15,17,14,53,48,5,0,0,44.9,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
2004,246,13,Cruzeiro,cruzeiro,56,46,16,8,22,69,81,-12,0,0,40.6,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
2004,246,14,Paysandu,paysandu,56,46,14,14,18,56,76,-20,0,0,40.6,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
2004,246,15,Paraná,parana,54,46,15,9,22,52,73,-21,0,0,39.1,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
2004,246,16,Vasco,vasco,54,46,14,12,20,64,68,-4,0,0,39.1,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
2004,246,17,Flamengo,flamengo,54,46,13,15,18,51,53,-2,0,0,39.1,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
2004,246,18,São Caetano,sao caetano,53,46,23,8,15,65,49,16,0,0,55.8,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
2004,246,19,Atlético Mineiro,atletico mineiro,53,46,12,17,17,60,66,-6,0,0,38.4,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
2004,246,20,Botafogo,botafogo,51,46,11,18,17,62,71,-9,0,0,37.0,0,0,0.0,0.0,,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,ok
