ano,id_campeonato,plugin_url,nome,serie
2003,247,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2004,246,https://www.srgoool.com.br/plugin/2004/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2005,245,https://www.srgoool.com.br/plugin/2005/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2006,242,https://www.srgoool.com.br/plugin/2006/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2007,241,https://www.srgoool.com.br/plugin/2007/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2008,240,https://www.srgoool.com.br/plugin/2008/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2009,67,https://www.srgoool.com.br/plugin/2009/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2010,45,https://www.srgoool.com.br/plugin/2010/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2011,12,https://www.srgoool.com.br/plugin/2011/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2012,1,https://www.srgoool.com.br/plugin/2012/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2013,105,https://www.srgoool.com.br/plugin/2013/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2014,154,https://www.srgoool.com.br/plugin/2014/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2015,243,https://www.srgoool.com.br/plugin/2015/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2016,341,https://www.srgoool.com.br/plugin/2016/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2017,410,https://www.srgoool.com.br/plugin/2017/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2018,468,https://www.srgoool.com.br/plugin/2018/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2019,566,https://www.srgoool.com.br/plugin/2019/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2020,633,https://www.srgoool.com.br/plugin/2020/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2021,709,https://www.srgoool.com.br/plugin/2021/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2022,821,https://www.srgoool.com.br/plugin/2022/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2023,967,https://www.srgoool.com.br/plugin/2023/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2024,1120,https://www.srgoool.com.br/plugin/2024/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2025,1182,https://www.srgoool.com.br/plugin/2025/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
2026,1243,https://www.srgoool.com.br/plugin/2026/Brasileirao/Serie-A,Campeonato Brasileiro,Série A
