ano,id_campeonato_srgoool,id_tabela_srgoool,rodada,data,hora,mandante,visitante,mandante_norm,visitante_norm,gols_mandante,gols_visitante,resultado,vencedor,publico_a_venda,publico_vendido,arrecadacao_bruta,renda_mandante,renda_visitante,publico_informado,cartoes_amarelos_mandante,cartoes_vermelhos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_visitante,fonte_url,status_coleta
2003,247,29220,1,2003-03-29,16:00,Guarani,Vasco,guarani,vasco,4,2,4 x 2,Guarani,,,,,,N,0,0,0,0,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,29221,1,2003-03-29,16:00,Athletico Paranaense,Grêmio,athletico paranaense,gremio,2,0,2 x 0,Athletico Paranaense,,,,,,N,0,0,0,0,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,29222,1,2003-03-30,16:00,Flamengo,Coritiba,flamengo,coritiba,1,1,1 x 1,Empate,,,,,,N,0,0,0,0,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,29223,1,2003-03-30,16:00,Cruzeiro,São Caetano,cruzeiro,sao caetano,2,2,2 x 2,Empate,,,,,,N,0,0,0,0,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,29224,1,2003-03-30,16:00,Juventude,São Paulo,juventude,sao paulo,2,2,2 x 2,Empate,,,,,,N,0,0,0,0,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,29225,1,2003-03-30,16:00,Vitória,Figueirense,vitoria,figueirense,1,1,1 x 1,Empate,,,,,,N,0,0,0,0,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,29226,1,2003-03-30,16:00,Internacional,Ponte Preta,internacional,ponte preta,1,1,1 x 1,Empate,,,,,,N,0,0,0,0,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,29227,1,2003-03-30,16:00,Goiás,Paysandu,goias,paysandu,2,2,2 x 2,Empate,,,,,,N,0,0,0,0,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,29228,1,2003-03-30,16:00,Fortaleza,Bahia,fortaleza,bahia,0,0,0 x 0,Empate,,,,,,N,0,0,0,0,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,29229,1,2003-03-30,16:00,Criciúma,Fluminense,criciuma,fluminense,2,0,2 x 0,Criciúma,,,,,,N,0,0,0,0,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,29230,1,2003-03-30,18:10,Santos,Paraná,santos,parana,2,2,2 x 2,Empate,,,,,,N,0,0,0,0,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
2003,247,29231,1,2003-03-30,18:10,Corinthians,Atlético Mineiro,corinthians,atletico mineiro,0,3,0 x 3,Atlético Mineiro,,,,,,N,0,0,0,0,https://www.srgoool.com.br/plugin/2003/Brasileirao/Serie-A,ok
